id,prompt,option,option_id,label
3,Determine the correct option: What is the term used in astrophysics to describe light-matter interactions resulting in energy shifts in the radiation field? among the listed options.,Blueshifting,A,0
3,Determine the correct option: What is the term used in astrophysics to describe light-matter interactions resulting in energy shifts in the radiation field? among the listed options.,Redshifting,B,0
3,Determine the correct option: What is the term used in astrophysics to describe light-matter interactions resulting in energy shifts in the radiation field? among the listed options.,Reddening,C,1
3,Determine the correct option: What is the term used in astrophysics to describe light-matter interactions resulting in energy shifts in the radiation field? among the listed options.,Whitening,D,0
3,Determine the correct option: What is the term used in astrophysics to describe light-matter interactions resulting in energy shifts in the radiation field? among the listed options.,Yellowing,E,0
4,Select the most accurate option: What is Martin Heidegger's view on the relationship between time and human existence? carefully.,"Martin Heidegger believes that humans exist within a time continuum that is infinite and does not have a defined beginning or end. The relationship to the past involves acknowledging it as a historical era, and the relationship to the future involves creating a world that will endure beyond one's own time.",A,0
4,Select the most accurate option: What is Martin Heidegger's view on the relationship between time and human existence? carefully.,"Martin Heidegger believes that humans do not exist inside time, but that they are time. The relationship to the past is a present awareness of having been, and the relationship to the future involves anticipating a potential possibility, task, or engagement.",B,1
4,Select the most accurate option: What is Martin Heidegger's view on the relationship between time and human existence? carefully.,"Martin Heidegger does not believe in the existence of time or that it has any effect on human consciousness. The relationship to the past and the future is insignificant, and human existence is solely based on the present.",C,0
4,Select the most accurate option: What is Martin Heidegger's view on the relationship between time and human existence? carefully.,Martin Heidegger believes that the relationship between time and human existence is cyclical. The past and present are interconnected and the future is predetermined. Human beings do not have free will.,D,0
4,Select the most accurate option: What is Martin Heidegger's view on the relationship between time and human existence? carefully.,"Martin Heidegger believes that time is an illusion, and the past, present, and future are all happening simultaneously. Humans exist outside of this illusion and are guided by a higher power.",E,0
5,"Identify the correct statement: What is the concept of simultaneity in Einstein's book, Relativity? carefully.","Simultaneity is relative, meaning that two events that appear simultaneous to an observer in a particular inertial reference frame need not be judged as simultaneous by a second observer in a different inertial frame of reference.",A,1
5,"Identify the correct statement: What is the concept of simultaneity in Einstein's book, Relativity? carefully.","Simultaneity is relative, meaning that two events that appear simultaneous to an observer in a particular inertial reference frame will always be judged as simultaneous by a second observer in a different inertial frame of reference.",B,0
5,"Identify the correct statement: What is the concept of simultaneity in Einstein's book, Relativity? carefully.","Simultaneity is absolute, meaning that two events that appear simultaneous to an observer in a particular inertial reference frame will always be judged as simultaneous by a second observer in a different inertial frame of reference.",C,0
5,"Identify the correct statement: What is the concept of simultaneity in Einstein's book, Relativity? carefully.",Simultaneity is a concept that applies only to Newtonian theories and not to relativistic theories.,D,0
5,"Identify the correct statement: What is the concept of simultaneity in Einstein's book, Relativity? carefully.",Simultaneity is a concept that applies only to relativistic theories and not to Newtonian theories.,E,0
6,Identify the correct statement: What is the effect generated by a spinning superconductor? among the listed options.,"An electric field, precisely aligned with the spin axis.",A,0
6,Identify the correct statement: What is the effect generated by a spinning superconductor? among the listed options.,"A magnetic field, randomly aligned with the spin axis.",B,0
6,Identify the correct statement: What is the effect generated by a spinning superconductor? among the listed options.,"A magnetic field, precisely aligned with the spin axis.",C,1
6,Identify the correct statement: What is the effect generated by a spinning superconductor? among the listed options.,"A gravitational field, randomly aligned with the spin axis.",D,0
6,Identify the correct statement: What is the effect generated by a spinning superconductor? among the listed options.,"A gravitational field, precisely aligned with the spin axis.",E,0
7,"Which of the following is correct? What is a ""coffee ring"" in physics? among the listed options.",A type of coffee that is made by boiling coffee grounds in water.,A,0
7,"Which of the following is correct? What is a ""coffee ring"" in physics? among the listed options.","A pattern left by a particle-laden liquid after it is spilled, named for the characteristic ring-like deposit along the perimeter of a spill of coffee or red wine.",B,0
7,"Which of the following is correct? What is a ""coffee ring"" in physics? among the listed options.",A type of coffee that is made by mixing instant coffee with hot water.,C,0
7,"Which of the following is correct? What is a ""coffee ring"" in physics? among the listed options.",A type of coffee that is made by pouring hot water over coffee grounds in a filter.,D,0
7,"Which of the following is correct? What is a ""coffee ring"" in physics? among the listed options.","A pattern left by a particle-laden liquid after it evaporates, named for the characteristic ring-like deposit along the perimeter of a spill of coffee or red wine.",E,1
8,Select the most accurate option: What is the Liouville density? among the listed options.,The Liouville density is a probability distribution that specifies the probability of finding a particle at a certain position in phase space for a collection of particles.,A,1
8,Select the most accurate option: What is the Liouville density? among the listed options.,The Liouville density is a quasiprobability distribution that plays an analogous role to the probability distribution for a quantum particle.,B,0
8,Select the most accurate option: What is the Liouville density? among the listed options.,The Liouville density is a bounded probability distribution that is a convenient indicator of quantum-mechanical interference.,C,0
8,Select the most accurate option: What is the Liouville density? among the listed options.,The Liouville density is a probability distribution that takes on negative values for states which have no classical model.,D,0
8,Select the most accurate option: What is the Liouville density? among the listed options.,The Liouville density is a probability distribution that satisfies all the properties of a conventional probability distribution for a quantum particle.,E,0
9,Select the most accurate option: What are the constituents of cold dark matter?,"They are unknown, but possibilities include large objects like MACHOs or new particles such as WIMPs and axions.",A,1
9,Select the most accurate option: What are the constituents of cold dark matter?,They are known to be black holes and Preon stars.,B,0
9,Select the most accurate option: What are the constituents of cold dark matter?,They are only MACHOs.,C,0
9,Select the most accurate option: What are the constituents of cold dark matter?,They are clusters of brown dwarfs.,D,0
9,Select the most accurate option: What are the constituents of cold dark matter?,They are new particles such as RAMBOs.,E,0
10,Which of the following is correct? What is the relationship between the Wigner function and the density matrix operator? from the following choices.,"The Wigner function W(x, p) is the Wigner transform of the density matrix operator ρ̂, and the trace of an operator with the density matrix Wigner-transforms to the equivalent phase-space integral overlap of g(x,p) with the Wigner function.",A,1
10,Which of the following is correct? What is the relationship between the Wigner function and the density matrix operator? from the following choices.,"The Wigner function W(x, p) is a source function used for the density matrix operator ρ̂ and the product of these two functions creates the phase space wave function g(x, p).",B,0
10,Which of the following is correct? What is the relationship between the Wigner function and the density matrix operator? from the following choices.,"The Wigner function W(x, p) is the derivative of the density matrix operator ρ̂ with respect to the phase space coordinate.",C,0
10,Which of the following is correct? What is the relationship between the Wigner function and the density matrix operator? from the following choices.,"The Wigner function W(x, p) represents the Hamiltonian H(x,p) of the density matrix operator ρ̂, while the Moyal bracket {{⋅, ⋅}} represents the Poisson bracket in the phase space.",D,0
10,Which of the following is correct? What is the relationship between the Wigner function and the density matrix operator? from the following choices.,"The Wigner function W(x, p) is the time derivative of the density matrix operator ρ̂ with respect to the phase space coordinate.",E,0
11,Select the most accurate option: What is the Peierls bracket in canonical quantization? based on the given context.,The Peierls bracket is a mathematical symbol used to represent the Poisson algebra in the canonical quantization approach.,A,0
11,Select the most accurate option: What is the Peierls bracket in canonical quantization? based on the given context.,The Peierls bracket is a mathematical tool used to generate the Hamiltonian in the canonical quantization technique.,B,0
11,Select the most accurate option: What is the Peierls bracket in canonical quantization? based on the given context.,The Peierls bracket is a Poisson bracket derived from the action in the canonical quantization procedure that converts the quotient algebra into a Poisson algebra.,C,1
11,Select the most accurate option: What is the Peierls bracket in canonical quantization? based on the given context.,The Peierls bracket is a mathematical symbol used to represent the quotient algebra in the canonical quantization approach.,D,0
11,Select the most accurate option: What is the Peierls bracket in canonical quantization? based on the given context.,The Peierls bracket is a mathematical tool used to generate the Euler-Lagrange equations in the canonical quantization technique.,E,0
12,"Choose the correct answer: What is the throttling process, and why is it essential? from the following choices.","The throttling process is a steady flow of a fluid through a flow resistance, such as a valve or porous plug, and is responsible for the pressure raise in domestic refrigerators. This process is key because it is at the heart of the refrigeration cycle.",A,0
12,"Choose the correct answer: What is the throttling process, and why is it essential? from the following choices.","The throttling process is a steady adiabatic flow of a fluid through a flow resistance, such as a valve or porous plug, and is responsible for the temperature drop in domestic refrigerators. This process is key because it is at the heart of the refrigeration cycle.",B,1
12,"Choose the correct answer: What is the throttling process, and why is it essential? from the following choices.","The throttling process is a steady adiabatic flow of a fluid through a flow resistance, such as a valve or porous plug, and is responsible for the pressure drop in domestic refrigerators. This process is key because it is at the heart of the refrigeration cycle.",C,0
12,"Choose the correct answer: What is the throttling process, and why is it essential? from the following choices.","The throttling process is a steady flow of a fluid through a flow resistance, such as a valve or porous plug, and is responsible for the temperature raise in domestic refrigerators. This process is key because it is at the heart of the refrigeration cycle.",D,0
12,"Choose the correct answer: What is the throttling process, and why is it essential? from the following choices.","The throttling process is a steady adiabatic flow of a fluid through a flow resistance, such as a valve or porous plug, and is responsible for the temperature drop in domestic refrigerators. This process is not significant because it is not used in the refrigeration cycle.",E,0
13,Choose the correct answer: Which of the following statements accurately describes the relationship between the dimensions of a diffracting object and the angular spacing of features in the diffraction pattern? carefully.,"The angular spacing of features in the diffraction pattern is indirectly proportional to the dimensions of the object causing the diffraction. Therefore, if the diffracting object is smaller, the resulting diffraction pattern will be narrower.",A,0
13,Choose the correct answer: Which of the following statements accurately describes the relationship between the dimensions of a diffracting object and the angular spacing of features in the diffraction pattern? carefully.,"The angular spacing of features in the diffraction pattern is directly proportional to the dimensions of the object causing the diffraction. Therefore, if the diffracting object is smaller, the resulting diffraction pattern will be narrower.",B,0
13,Choose the correct answer: Which of the following statements accurately describes the relationship between the dimensions of a diffracting object and the angular spacing of features in the diffraction pattern? carefully.,"The angular spacing of features in the diffraction pattern is independent of the dimensions of the object causing the diffraction. Therefore, if the diffracting object is smaller, the resulting diffraction pattern will be the same as if it were big.",C,0
13,Choose the correct answer: Which of the following statements accurately describes the relationship between the dimensions of a diffracting object and the angular spacing of features in the diffraction pattern? carefully.,"The angular spacing of features in the diffraction pattern is inversely proportional to the dimensions of the object causing the diffraction. Therefore, if the diffracting object is smaller, the resulting diffraction pattern will be wider.",D,1
13,Choose the correct answer: Which of the following statements accurately describes the relationship between the dimensions of a diffracting object and the angular spacing of features in the diffraction pattern? carefully.,"The angular spacing of features in the diffraction pattern is directly proportional to the square root of the dimensions of the object causing the diffraction. Therefore, if the diffracting object is smaller, the resulting diffraction pattern will be slightly narrower.",E,0
14,What is the interpretation of supersymmetry in stochastic supersymmetric theory?,Supersymmetry is a type of hydromagnetic dynamo that arises when the magnetic field becomes strong enough to affect the fluid motions.,A,0
14,What is the interpretation of supersymmetry in stochastic supersymmetric theory?,Supersymmetry is a measure of the amplitude of the dynamo in the induction equation of the kinematic approximation.,B,0
14,What is the interpretation of supersymmetry in stochastic supersymmetric theory?,Supersymmetry is a measure of the strength of the magnetic field in the induction equation of the kinematic dynamo.,C,0
14,What is the interpretation of supersymmetry in stochastic supersymmetric theory?,Supersymmetry is a property of deterministic chaos that arises from the continuity of the flow in the model's phase space.,D,0
14,What is the interpretation of supersymmetry in stochastic supersymmetric theory?,"Supersymmetry is an intrinsic property of all stochastic differential equations, and it preserves continuity in the model's phase space via continuous time flows.",E,1
15,Identify the correct statement: Which mathematical function is commonly used to characterize linear time-invariant frameworks? from the following choices.,Trigonometric function,A,0
15,Identify the correct statement: Which mathematical function is commonly used to characterize linear time-invariant frameworks? from the following choices.,Quadratic function,B,0
15,Identify the correct statement: Which mathematical function is commonly used to characterize linear time-invariant frameworks? from the following choices.,Exponential function,C,0
15,Identify the correct statement: Which mathematical function is commonly used to characterize linear time-invariant frameworks? from the following choices.,Logarithmic function,D,0
15,Identify the correct statement: Which mathematical function is commonly used to characterize linear time-invariant frameworks? from the following choices.,Transfer function,E,1
16,"Pick the best possible answer: What is a ""coffee ring"" in physics?",A type of coffee that is made by boiling coffee grounds in water.,A,0
16,"Pick the best possible answer: What is a ""coffee ring"" in physics?","A pattern left by a particle-laden liquid after it is spilled, named for the characteristic ring-like deposit along the perimeter of a spill of coffee or red wine.",B,0
16,"Pick the best possible answer: What is a ""coffee ring"" in physics?",A type of coffee that is made by mixing instant coffee with hot water.,C,0
16,"Pick the best possible answer: What is a ""coffee ring"" in physics?",A type of coffee that is made by pouring hot water over coffee grounds in a filter.,D,0
16,"Pick the best possible answer: What is a ""coffee ring"" in physics?","A pattern left by a particle-laden liquid after it evaporates, named for the characteristic ring-like deposit along the perimeter of a spill of coffee or red wine.",E,1
17,Pick the best possible answer: What is the definition of Atomristor? based on the given context.,Atomristor is a flexible memristive device comprising a MoOx/MoS2 heterostructure sandwiched between silver electrodes on a plastic foil.,A,0
17,Pick the best possible answer: What is the definition of Atomristor? based on the given context.,Atomristor is a prominent memcapacitive effect observed in switches with memristive behavior.,B,0
17,Pick the best possible answer: What is the definition of Atomristor? based on the given context.,Atomristor is defined as the electrical devices showing memristive behavior in atomically thin nanomaterials or atomic sheets.,C,1
17,Pick the best possible answer: What is the definition of Atomristor? based on the given context.,Atomristor is a printing and solution-processing technology used to fabricate memristive devices.,D,0
17,Pick the best possible answer: What is the definition of Atomristor? based on the given context.,Atomristor is a type of two-dimensional layered transition metal dichalcogenides (TMDs) used in the fabrication of memristive devices.,E,0
18,Select the most accurate option: What is the cause of the observed change in the periods of moons orbiting a distant planet when measured from Earth? based on the given context.,"The distinction in the size of the planet's moons when the Earth is at the point in its orbit that is closest to its planet than when the Earth is at the farthest point in its orbit, the distinction in distance being the diameter of the Earth's orbit around the Sun.",A,0
18,Select the most accurate option: What is the cause of the observed change in the periods of moons orbiting a distant planet when measured from Earth? based on the given context.,"The contrast in the speed of light when the Earth is at the point in its orbit that is closest to its planet than when the Earth is at the farthest point in its orbit, the contrast in distance being the diameter of the Earth's orbit around the Sun.",B,0
18,Select the most accurate option: What is the cause of the observed change in the periods of moons orbiting a distant planet when measured from Earth? based on the given context.,"The contrast in distance travelled by light from the planet (or its moon) to Earth when the Earth is at the point in its orbit that is closest to its planet than when the Earth is at the farthest point in its orbit, the contrast in distance being the diameter of the Earth's orbit around the Sun.",C,1
18,Select the most accurate option: What is the cause of the observed change in the periods of moons orbiting a distant planet when measured from Earth? based on the given context.,"The distinction in the atmospheric conditions of the planet when the Earth is at the point in its orbit that is closest to its planet than when the Earth is at the farthest point in its orbit, the distinction in distance being the diameter of the Earth's orbit around the Sun.",D,0
18,Select the most accurate option: What is the cause of the observed change in the periods of moons orbiting a distant planet when measured from Earth? based on the given context.,"The contrast in the gravitational pull of the planet on its moons when the Earth is at the point in its orbit that is closest to its planet than when the Earth is at the farthest point in its orbit, the contrast in distance being the diameter of the Earth's orbit around the Sun.",E,0
19,Choose the correct answer: What is the variation between illuminance and luminance? carefully.,"Illuminance is the amount of light absorbed by a surface per unit area, while luminance is the amount of light reflected by a surface per unit area.",A,0
19,Choose the correct answer: What is the variation between illuminance and luminance? carefully.,"Illuminance is the amount of light falling on a surface per unit area, while luminance is the amount of light emitted by a source per unit area.",B,1
19,Choose the correct answer: What is the variation between illuminance and luminance? carefully.,"Illuminance is the amount of light concentrated into a smaller area, while luminance is the amount of light filling a larger solid angle.",C,0
19,Choose the correct answer: What is the variation between illuminance and luminance? carefully.,"Illuminance is the amount of light emitted by a source per unit area, while luminance is the amount of light falling on a surface per unit area.",D,0
19,Choose the correct answer: What is the variation between illuminance and luminance? carefully.,"Illuminance is the amount of light reflected by a surface per unit area, while luminance is the amount of light absorbed by a surface per unit area.",E,0
20,"Which of the following is correct? Who proposed the concept of ""maximal acceleration""? carefully.",Max Planck,A,0
20,"Which of the following is correct? Who proposed the concept of ""maximal acceleration""? carefully.",Niels Bohr,B,0
20,"Which of the following is correct? Who proposed the concept of ""maximal acceleration""? carefully.",Eduardo R. Caianiello,C,1
20,"Which of the following is correct? Who proposed the concept of ""maximal acceleration""? carefully.",Hideki Yukawa,D,0
20,"Which of the following is correct? Who proposed the concept of ""maximal acceleration""? carefully.",Albert Einstein,E,0
21,Identify the correct statement: What is the reason that it is nearly impossible to see light emitted at the Lyman-alpha transition wavelength from a star farther than a few hundred light years from Earth? among the listed options.,"Far ultraviolet light is absorbed effectively by the charged components of the ISM, including atomic helium, which has a typical absorption wavelength of about 121.5 nanometers, the Lyman-alpha transition.",A,0
21,Identify the correct statement: What is the reason that it is nearly impossible to see light emitted at the Lyman-alpha transition wavelength from a star farther than a few hundred light years from Earth? among the listed options.,"Far ultraviolet light is absorbed effectively by the neutral components of the ISM, including atomic hydrogen, which has a typical absorption wavelength of about 121.5 nanometers, the Lyman-alpha transition.",B,1
21,Identify the correct statement: What is the reason that it is nearly impossible to see light emitted at the Lyman-alpha transition wavelength from a star farther than a few hundred light years from Earth? among the listed options.,"Far ultraviolet light is absorbed effectively by the charged components of the ISM, including atomic hydrogen, which has a typical absorption wavelength of about 121.5 nanometers, the Lyman-alpha transition.",C,0
21,Identify the correct statement: What is the reason that it is nearly impossible to see light emitted at the Lyman-alpha transition wavelength from a star farther than a few hundred light years from Earth? among the listed options.,"Far ultraviolet light is absorbed effectively by the neutral components of the ISM, including atomic helium, which has a typical absorption wavelength of about 121.5 nanometers, the Lyman-alpha transition.",D,0
21,Identify the correct statement: What is the reason that it is nearly impossible to see light emitted at the Lyman-alpha transition wavelength from a star farther than a few hundred light years from Earth? among the listed options.,"Far ultraviolet light is absorbed effectively by the neutral components of the ISM, including atomic hydrogen, which has a typical absorption wavelength of about 212.5 nanometers, the Lyman-alpha transition.",E,0
22,Which of the following is correct? Who shared the other half of the Nobel Prize with Yoichiro Nambu for discovering the origin of the explicit breaking of CP symmetry in the weak interactions? among the listed options.,Richard Feynman and Julian Schwinger,A,0
22,Which of the following is correct? Who shared the other half of the Nobel Prize with Yoichiro Nambu for discovering the origin of the explicit breaking of CP symmetry in the weak interactions? among the listed options.,Makoto Kobayashi and Toshihide Maskawa,B,1
22,Which of the following is correct? Who shared the other half of the Nobel Prize with Yoichiro Nambu for discovering the origin of the explicit breaking of CP symmetry in the weak interactions? among the listed options.,Steven Weinberg and Sheldon Glashow,C,0
22,Which of the following is correct? Who shared the other half of the Nobel Prize with Yoichiro Nambu for discovering the origin of the explicit breaking of CP symmetry in the weak interactions? among the listed options.,Peter Higgs and Francois Englert,D,0
22,Which of the following is correct? Who shared the other half of the Nobel Prize with Yoichiro Nambu for discovering the origin of the explicit breaking of CP symmetry in the weak interactions? among the listed options.,Murray Gell-Mann and George Zweig,E,0
23,Determine the correct option: What is the Optical Signal-to-Noise Ratio (OSNR)?,"The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the modulation frequency and the carrier frequency of an optical signal, used to describe the signal quality in structures where dynamic range is less than 6.02m.",A,0
23,Determine the correct option: What is the Optical Signal-to-Noise Ratio (OSNR)?,"The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the signal power and the noise power in a given bandwidth, used to describe the signal quality without taking the receiver into account.",B,1
23,Determine the correct option: What is the Optical Signal-to-Noise Ratio (OSNR)?,"The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the signal power and the noise power in a given bandwidth, used to describe the signal quality in situations where the dynamic range is less than 6.02m.",C,0
23,Determine the correct option: What is the Optical Signal-to-Noise Ratio (OSNR)?,"The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the signal power and the noise power in a fixed bandwidth of 6.02m, used to describe the signal quality in frameworks where dynamic range is less than 6.02m.",D,0
23,Determine the correct option: What is the Optical Signal-to-Noise Ratio (OSNR)?,"The Optical Signal-to-Noise Ratio (OSNR) is the ratio between the signal power and the noise power in a given bandwidth, used to describe the signal quality in situations where the dynamic range is large or unpredictable.",E,0
24,Which of the following is correct? Which of the following statements accurately describes the blocking temperature of an antiferromagnetic layer in a spin valve? carefully.,The blocking temperature of an antiferromagnetic layer in a spin valve is the temperature at which the magnetization of the ferromagnetic layer becomes aligned with the magnetic field. The blocking temperature is typically higher than the Néel temperature.,A,0
24,Which of the following is correct? Which of the following statements accurately describes the blocking temperature of an antiferromagnetic layer in a spin valve? carefully.,"The blocking temperature of an antiferromagnetic layer in a spin valve is the temperature below which the layer loses its ability to ""pin"" the magnetization direction of an adjacent ferromagnetic layer. The blocking temperature is typically higher than the Néel temperature.",B,0
24,Which of the following is correct? Which of the following statements accurately describes the blocking temperature of an antiferromagnetic layer in a spin valve? carefully.,The blocking temperature of an antiferromagnetic layer in a spin valve is the temperature at which the ferromagnetic layer becomes completely demagnetized. The blocking temperature is typically higher than the Néel temperature.,C,0
24,Which of the following is correct? Which of the following statements accurately describes the blocking temperature of an antiferromagnetic layer in a spin valve? carefully.,The blocking temperature of an antiferromagnetic layer in a spin valve is the temperature at or above which the layer ceases to prevent the orientation of an adjacent ferromagnetic layer. The blocking temperature is typically lower than the Néel temperature.,D,1
24,Which of the following is correct? Which of the following statements accurately describes the blocking temperature of an antiferromagnetic layer in a spin valve? carefully.,"The blocking temperature of an antiferromagnetic layer in a spin valve is the temperature at which the ferromagnetic layer loses its ability to ""pin"" the magnetization direction of an adjacent antiferromagnetic layer. The blocking temperature is typically higher than the Néel temperature.",E,0
25,"Choose the correct answer: What is the relationship between mass, force, and acceleration, according to Sir Isaac Newton's laws of motion?","Mass is a property that determines the weight of an object. According to Newton's laws of motion and the formula F = ma, an object with a mass of one kilogram accelerates at one meter per second per second when acted upon by a force of one newton.",A,0
25,"Choose the correct answer: What is the relationship between mass, force, and acceleration, according to Sir Isaac Newton's laws of motion?","Mass is an inertial property that determines an object's tendency to remain at constant velocity unless acted upon by an outside force. According to Newton's laws of motion and the formula F = ma, an object with a mass of one kilogram accelerates at ten meters per second per second when acted upon by a force of one newton.",B,0
25,"Choose the correct answer: What is the relationship between mass, force, and acceleration, according to Sir Isaac Newton's laws of motion?","Mass is an inertial property that determines an object's tendency to remain at constant velocity unless acted upon by an outside force. According to Newton's laws of motion and the formula F = ma, an object with a mass of one kilogram accelerates at ten meters per second per second when acted upon by a force of ten newtons.",C,0
25,"Choose the correct answer: What is the relationship between mass, force, and acceleration, according to Sir Isaac Newton's laws of motion?","Mass is an inertial property that determines an object's tendency to remain at constant velocity unless acted upon by an outside force. According to Newton's laws of motion and the formula F = ma, an object with a mass of one kilogram accelerates at one meter per second per second when acted upon by a force of one newton.",D,1
25,"Choose the correct answer: What is the relationship between mass, force, and acceleration, according to Sir Isaac Newton's laws of motion?","Mass is a property that determines the size of an object. According to Newton's laws of motion and the formula F = ma, an object with a mass of one kilogram accelerates at one meter per second per second when acted upon by a force of ten newtons.",E,0
26,Choose the correct answer: What is Hesse's principle of transfer in geometry? carefully.,Hesse's principle of transfer is a concept in biology that explains the transfer of genetic information from one generation to another.,A,0
26,Choose the correct answer: What is Hesse's principle of transfer in geometry? carefully.,Hesse's principle of transfer is a concept in chemistry that explains the transfer of electrons between atoms in a chemical reaction.,B,0
26,Choose the correct answer: What is Hesse's principle of transfer in geometry? carefully.,Hesse's principle of transfer is a concept in physics that explains the transfer of energy from one object to another.,C,0
26,Choose the correct answer: What is Hesse's principle of transfer in geometry? carefully.,Hesse's principle of transfer is a concept in economics that explains the transfer of wealth from one individual to another.,D,0
26,Choose the correct answer: What is Hesse's principle of transfer in geometry? carefully.,"Hesse's principle of transfer is a concept in geometry that states that if the points of the projective line P1 are depicted by a rational normal curve in Pn, then the group of the projective transformations of Pn that preserve the curve is isomorphic to the group of the projective transformations of P1.",E,1
27,Pick the best possible answer: What was Pierre de Fermat's solution to the problem of refraction? from the following choices.,"Fermat supposed that light took the path of least resistance, and that different media offered the same resistance. His eventual solution, described in a letter to La Chambre dated 1 January 1662, construed ""resistance"" as inversely proportional to speed, so that light took the path of least time. That premise yielded the ordinary law of refraction, provided that light traveled more slowly in the optically denser medium.",A,0
27,Pick the best possible answer: What was Pierre de Fermat's solution to the problem of refraction? from the following choices.,"Fermat supposed that light took the path of least resistance, and that different media offered different resistances. His eventual solution, described in a letter to La Chambre dated 1 January 1662, construed ""resistance"" as directly proportional to speed, so that light took the path of least time. That premise yielded the ordinary law of refraction, provided that light traveled more quickly in the optically denser medium.",B,0
27,Pick the best possible answer: What was Pierre de Fermat's solution to the problem of refraction? from the following choices.,"Fermat supposed that light took the path of least resistance, and that different media offered the same resistance. His eventual solution, described in a letter to La Chambre dated 1 January 1662, construed ""resistance"" as directly proportional to speed, so that light took the path of least time. That premise yielded the ordinary law of refraction, provided that light traveled more slowly in the optically denser medium.",C,0
27,Pick the best possible answer: What was Pierre de Fermat's solution to the problem of refraction? from the following choices.,"Fermat supposed that light took the path of least resistance, and that different media offered the same resistance. His eventual solution, described in a letter to La Chambre dated 1 January 1662, construed ""resistance"" as inversely proportional to speed, so that light took the path of least time. That premise yielded the ordinary law of refraction, provided that light traveled more quickly in the optically denser medium.",D,0
27,Pick the best possible answer: What was Pierre de Fermat's solution to the problem of refraction? from the following choices.,"Fermat supposed that light took the path of least resistance, and that different media offered different resistances. His eventual solution, described in a letter to La Chambre dated 1 January 1662, construed ""resistance"" as inversely proportional to speed, so that light took the path of least time. That premise yielded the ordinary law of refraction, provided that light traveled more slowly in the optically denser medium.",E,1
28,Identify the correct statement: What is a uniform tiling in the hyperbolic plane? based on the given context.,A uniform tiling in the hyperbolic plane is a tessellation of the hyperbolic plane with irregular polygons as faces. These are not vertex-transitive and isogonal.,A,0
28,Identify the correct statement: What is a uniform tiling in the hyperbolic plane? based on the given context.,A uniform tiling in the hyperbolic plane is a tessellation of the hyperbolic plane with regular polygons as faces. These are not vertex-transitive and isogonal.,B,0
